gc_iter	gc_defnew_start	gc_defnew_end	gc_defnew_all	gc_paus_time	gc_start_occ	gc_end_occ	gc_main_paus_time	
21.361	1551	141	1728	0.0006930	15714	14304	0.0007590
21.364	1561	142	1728	0.0006580	15724	14305	0.0007240
21.367	1570	143	1728	0.0006640	15733	14306	0.0007280
21.370	1580	143	1728	0.0006280	15743	14306	0.0006890
21.373	1589	144	1728	0.0006350	15752	14307	0.0007010
21.376	1599	145	1728	0.0006680	15762	14308	0.0007310
21.386	1608	146	1728	0.0006630	15771	14309	0.0007290
21.389	1618	147	1728	0.0006980	15781	14310	0.0007650
21.392	1627	148	1728	0.0006720	15790	14311	0.0007370
21.395	1637	149	1728	0.0006720	15799	14312	0.0007390
21.398	1646	150	1728	0.0006760	15809	14312	0.0007430
21.401	1655	150	1728	0.0008770	15818	14313	0.0009500
21.404	1665	151	1728	0.0006840	15828	14314	0.0007470
21.414	1674	152	1728	0.0006780	15837	14315	0.0007440
21.417	1684	153	1728	0.0007260	15847	14316	0.0007910
21.420	1616	77	1728	0.0005600	15779	14240	0.0006220
21.423	1548	154	1728	0.0008910	15711	14395	0.0009610
21.426	1555	155	1728	0.0006940	15796	14396	0.0007580
21.429	1641	78	1728	0.0005450	15882	14318	0.0006060
21.432	1572	157	1728	0.0011030	15812	14476	0.0011740
21.435	1579	158	1728	0.0007140	15898	14477	0.0007780
21.439	1667	79	1728	0.0005570	15986	14398	0.0006180
21.442	1596	159	1728	0.0009570	15915	14558	0.0010270
21.445	1603	160	1728	0.0007330	16002	14559	0.0007990
21.448	1692	80	1728	0.0005760	16091	14479	0.0006380
21.457	1458	162	1728	0.0007010	15857	14561	0.0007680
21.460	1627	162	1728	0.0011000	16026	14643	0.0011700
21.464	1634	163	1728	0.0007010	16115	14644	0.0007670
21.467	1642	164	1728	0.0009690	16123	14727	0.0010400
21.470	1650	165	1728	0.0007050	16212	14727	0.0007710
21.474	1658	165	1728	0.0009530	16220	14811	0.0010250
21.477	1665	166	1728	0.0071290	16311	14812	0.0072000
21.486	1673	167	1728	0.0009660	16319	14896	0.0010370
21.490	1681	168	1728	0.0007070	16410	14897	0.0007730
21.493	1688	169	1728	0.0010310	16418	14982	0.0011030
21.497	1696	169	1728	0.0008130	16510	14983	0.0008840
21.500	1704	170	1728	0.0009920	16518	15069	0.0010610
21.503	1626	85	1728	0.0005870	16525	14984	0.0006480
21.513	1618	96	1728	0.0006970	16517	14995	0.0007580
21.516	1624	30	1728	0.0007450	16523	15015	0.0008080
21.519	1562	40	1728	0.0005050	16547	15025	0.0005650
21.522	1570	32	1728	0.0004770	16555	15017	0.0005360
21.525	1553	18	1728	0.0005230	16538	15003	0.0005840
21.527	1531	41	1728	0.0005370	16516	15026	0.0005990
21.531	1574	22	1728	0.0004590	16560	15007	0.0005180
21.539	1543	48	1728	0.0004810	16528	15033	0.0005390
21.542	1551	51	1728	0.0005150	16536	15036	0.0005750
21.545	1538	54	1728	0.0006380	16523	15039	0.0006990
21.548	1566	85	1728	0.0005760	16551	15071	0.0006370
21.551	1614	90	1728	0.0005790	16599	15075	0.0006400
21.554	1596	31	1728	0.0004810	16581	15016	0.0005410
21.556	1535	97	1728	0.0005870	16520	15082	0.0006740
21.559	1626	67	1728	0.0005460	16611	15052	0.0006070
21.562	1582	69	1728	0.0005290	16567	15055	0.0005900
21.565	1599	36	1728	0.0004800	16584	15021	0.0005380
21.568	1539	74	1728	0.0005530	16525	15059	0.0006140
21.571	1584	76	1728	0.0006370	16569	15061	0.0006990
21.574	1589	39	1728	0.0004940	16574	15024	0.0005530
21.577	1511	80	1728	0.0069710	16496	15065	0.0070450
21.586	1547	82	1728	0.0005670	16532	15067	0.0006270
21.589	1583	84	1728	0.0005510	16568	15069	0.0006140
21.592	1619	86	1728	0.0005740	16605	15071	0.0006340
21.595	1611	44	1728	0.0005040	16597	15029	0.0006480
21.598	1512	89	1728	0.0005610	16497	15074	0.0006210
21.600	1540	91	1728	0.0005760	16526	15076	0.0006370
21.610	1569	93	1728	0.0005580	16554	15078	0.0006200
21.613	1598	94	1728	0.0008700	16583	15080	0.0009380
21.616	1627	96	1728	0.0005980	16612	15081	0.0006600
21.619	1606	49	1728	0.0005100	16591	15034	0.0005720
21.622	1584	149	1728	0.0006830	16569	15134	0.0007500
